Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,SERCOM1_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,GPIO_S1,GPIO,Digital,In,n/a,Yes,No,NORMAL
5,PB04,GPIO_S2,GPIO,Digital,In,n/a,Yes,No,NORMAL
6,PB05,GPIO_S3,GPIO,Digital,In,n/a,Yes,No,NORMAL
9,PB06,GPIO_SW2,GPIO,Digital,In,n/a,Yes,No,NORMAL
10,PB07,,Available,,,,,,NORMAL
11,PB08,GPIO_ENC1_1_LSB,GPIO,Digital,In,n/a,Yes,No,NORMAL
12,PB09,GPIO_ENC2,GPIO,Digital,In,n/a,Yes,No,NORMAL
13,PA04,GPIO_ENC3,GPIO,Digital,In,n/a,Yes,No,NORMAL
14,PA05,GPIO_ENC1_4_MSB,GPIO,Digital,In,n/a,Yes,No,NORMAL
15,PA06,,Available,,,,,,NORMAL
16,PA07,,Available,,,,,,NORMAL
17,PA08,,Available,,,,,,NORMAL
18,PA09,,Available,,,,,,NORMAL
19,PA10,,Available,,,,,,NORMAL
20,PA11,,Available,,,,,,NORMAL
23,PB10,,Available,,,,,,NORMAL
24,PB11,,Available,,,,,,NORMAL
25,PB12,,Available,,,,,,NORMAL
26,PB13,,Available,,,,,,NORMAL
27,PB14,,Available,,,,,,NORMAL
28,PB15,,Available,,,,,,NORMAL
29,PA12,,Available,,,,,,NORMAL
30,PA13,,Available,,,,,,NORMAL
31,PA14,,Available,,,,,,NORMAL
32,PA15,,Available,,,,,,NORMAL
35,PA16,GPIO_ENC2_1_LSB,GPIO,Digital,In,n/a,Yes,No,NORMAL
36,PA17,GPIO_ENC2_2,GPIO,Digital,In,n/a,Yes,No,NORMAL
37,PA18,GPIO_ENC2_3,GPIO,Digital,In,n/a,Yes,No,NORMAL
38,PA19,GPIO_ENC2_4_MSB,GPIO,Digital,In,n/a,Yes,No,NORMAL
39,PB16,,Available,,,,,,NORMAL
40,PB17,GPIO_SW1,GPIO,Digital,High Impedance,n/a,Yes,No,NORMAL
41,PA20,,Available,,,,,,NORMAL
42,PA21,,Available,,,,,,NORMAL
43,PA22,GPIO_S4,GPIO,Digital,In,n/a,Yes,No,NORMAL
44,PA23,GPIO_S5,GPIO,Digital,In,n/a,Yes,No,NORMAL
45,PA24,GPIO_S6,GPIO,Digital,In,n/a,Yes,No,NORMAL
46,PA25,,Available,,,,,,NORMAL
49,PB22,,Available,,,,,,NORMAL
50,PB23,,Available,,,,,,NORMAL
51,PA27,,Available,,,,,,NORMAL
53,PA28,,Available,,,,,,NORMAL
57,PA30,,Available,,,,,,NORMAL
58,PA31,,Available,,,,,,NORMAL
59,PB30,,Available,,,,,,NORMAL
60,PB31,,Available,,,,,,NORMAL
61,PB00,,Available,,,,,,NORMAL
62,PB01,,Available,,,,,,NORMAL
63,PB02,,Available,,,,,,NORMAL
64,PB03,GPIO_HEARTBEAT,GPIO,Digital,In/Out,Low,,,NORMAL
